,26.0,54.0,52.0,32.0,14.0,35.0,16.0,11.0,53.0,36.0,4.0,28.0,45.0,46.0,21.0,19.0,49.0,22.0,56.0,5.0,31.0,40.0,1.0,2.0,25.0,44.0,9.0,20.0,29.0,12.0,47.0,17.0,39.0,55.0,13.0,6.0,7.0,24.0,15.0,23.0,50.0,38.0,41.0,48.0,33.0,34.0,37.0,0.0,18.0,3.0,42.0,51.0,27.0,43.0,30.0,8.0,10.0
10,niunamenos,plenodelcongreso,toledo,sentidiño,viviendadigna,libertad,turismo,movilidad,familia,casta,felizsanvalentín,desgobierno,millones,fuckvox,wallstreet,democracia,laalternativa,pinochosánchez,unidadnacional,turismo,semanasanta2020,calahorra,georgia,activemosespaña,psoealaderiva,ascazo,devolucionesencaliente,seguridadsocial,venezuelalibre,entroido,alacant,agricultoresallímite,otgala5,coiv_19,elconveniodelaigualdad,egeria,españaviva,españanoesunmito,gobiernodecoalición,autonomos,partidopopular,diligencia,santacoloma,lugo,vamosbenidorm,todosaldrabien,galiciadeloito,presidente,cieza,sendadefuturo,justiciasocial,atresmediacensura,unidaspodemos,gracias,santjordi2020,11marzo,trendeladignidad
11,rural,agricultores,almansa,coronavid19,códigopenal,almagro,faselibertad,cef,cuenca,colombia,resistecantabria,descoordinación,campañas,igualdadsalarial,fed,ábalosdimisión,vistalegreiii,sanitaria,unidaspodemos,bce,prevaricar,leymordaza,investidurisima,grammys,lugo,ffccss,ddhh,interior,asínopedro,estadodeemergencia,lastra,ceatletismopc,democracia,losuperaremos,guaidoenmadrid,escudosocialcoronavirus,voxextremanecesidad,carreradelosvalientes,sanchezpagalasnóminas,muybuenasnoches,bormujos,10n,agendadiputado,sansebastian,soñemos,faselibertad,antifascista,kobebryant,microcréditosreturns,cs,primavera,hombresyfeminismo,reyesmagos,leyeutanasia,díadeltrabajador,atocha,niunpasoatrás
12,plenosenado,unsíparaavanzar,fcse,rutaterritorial,cataluña,rural,libertad,7n,fuerzaespaña,sánchezvendeespaña,residenciasdemayores,radicalidad,provincianasiempre,miercolesdeceniza,temporal,objetivoábalos,españaviva,comisión,plenocongreso,borrascagloria,autonomosabandonados,estevirusloparamosjuntos,diaeuropeovictimasterrorismo,feriagrancanariamegusta,codvid19,funcionariosprisiones,coranovirus,juntadeportavoces,aingresosceroimpuestoscero,siria,sanchezvendeespana,ourense2020,cyl,plenodecontrol,hemeroteca,diputaciónpermante,europaselajuega,xivlegislatura,diamundialdelasalud,kobebryant,seguimostrabajando,apoyoaisaserra,infancia,tamborrada2020,aporlafinal,activemosespaña,comisióndeogualdad,semanasanta,españaexiste12e,educación,zamora,debatedeinvestidura,graciasanuestrostrabajadores,6añosgraciasati,lomloe,lasppperlas,adoptanocompres
13,agricultores,unidaspodemos,codvid19,paísvasco,españavaciada,calima,fed,niunamenos,comisiondesanidad,caracas,bankia,díamundialdelaradio,coronavid19,tradiciones,talentoparaelfuturo,almeria,yovoy,consumo,fakenews,graciasprofes,debatedeinvestidura,safor,voxconelcampo,ourense,diálogo,sanchismo,spain,wuhan,espabile,investidurasanchez,tasatobin,discapacidad,ciudadanos,retoporlapaz,compromisoporespaña,agendadiputado,cuba,forever,andalucía,smi,notienenvergüenza,porespaña,adolescencia,larioja,innovación,educación,consejodeministros,semanasantaencasa,mercenarios,noalpinparental,recordamos,lapalmablanca,machismomata,frenarlosdeshaucios,querellaborbón,arrierito,lacaramasduraqueelcemento
14,lagalliguera,ingresovital,valledealcudia,getxo,despoblación,viento,díamujeryniñaenciencia,casado,otrobulo,coronavid19,xivlegislatura,miguelhernández,cadenaagroalimentaria,crisisclimática,concordia,cacerolada,copaacb,lapuebladealmoradiel,gobiernodimisión,gibraltar,nuevaeconomiaforum,emergenciaclimatica,auschwitz75,entroido,colaboración,getxo,premioddhh2019,parlamentoabierto,vera,estamoscontigo,tasagoogle,sánchezvendeespaña,barruelodesantullán,calatayud,familiasocialista,teletrabajo,nicaragua,ollano,sanchezdimision,plenoordinario,erte,espanasiempre,alrojovivo,echenoz,torradesppedido,ejercetupoder,jovenes,cinismo,venezuelalibre,mutilaciongenitalfemenina,terror,elche,cadenasfeministas,díamundialautismo,emérito,empleo,11m
15,chile,oms,ponferrada,bizkaia,alzheimer,grammys,abogadosdeatocha,españaviva,graciasabascal,aplausocolectivo,premioselmundo,coronavirusespana,estrategia,aborto,sanchez,elkarrekinpodemos,vamooooosss,empleo,estadodealarmacuestióndeestado,corrupciónpsoe,ave,leylibertadsexual,1917movie,meco,ccaa,investudura,enportada,twitterresponde,almeria,familia,plenosdr,exámenes,feminista,educación,asino,fridaysforfuture,plenocongreso,laespañaquequieres,queremosjusticia,sanitarios,pactodetoledo,paisvascoenel,lleida,viedegérardfulmard,leónesp,minutodesilencio,tarifaplana,españateespera,aga,mariobunge,delcyrodríguez,elx,espanaviva,canarias,ingresovital,despoblación,gobiernodelpueblo
16,leylibertadsexual,debateinvestidura,parador,hoteles,massagué,frenalacurva,abalosdimisión,díamundialcontraelcáncer,seguridadsocial,profesionalessanitarios,navarra,covid19espana,industrial,permisoretribuidorecuperable,ascazo,badajoz,agricultores,desaparecido,badajoz,yeles,voxconelmundorural,graciasanuestrostrabajadores,disialohortera,troteiros,democracia2019,coronavirius,pastoriza,28fnadaquecelebrar,felizdiadelpadre,laalternativa,ahorasí,mossos,sesióndeinvestidura,ojaláestevirusloparáramosunidos,palencia,pib,telemático,venceryconvencer,stopbulosgubernamentales,fcse,lhospitalet,twitterresponde,apor2020,ppvoxcs,feliz8m,díamundialsintabaco,losdesayunostve,díamundialdelosmonumentosysitios,ourense,memoriahistórica,preciosjustos,europaselajuega,salvemcineciutat,fracking,políticaútil,legislatura,encasa
17,graciaspapá,funcionariosdeprisiones,baiona,quintosdemora,techspiritbarcelona,rrii,toledo,waterpolo,nissan,díainternacionalasperger,nafarroa,pedrosánchezpresidente,libres,tgss,fronterasur,síperono,trabajo,matés,alimentosdespaña,ermua,cooperaciónespañola,gloria,hechos,córdoba,jaén,comisióndesanidadyconsumo,lugo,parásitos,derecha,flickr,terrassa,baixalimiaxurés,yovoy,constitución,ábalosdimisión,leylibertadsexual,alcoi,utiel,losabían,telesanchezrtve,diadelamujer,xvdelleón,amistadespeligrosas,cajab,cáncerinfantil,tabaco,elpalenque,pactosdelamoncloa,tezanos,leydeeutanasia,murcia,retocovid19alcolea,apesardeellos,23abríl,chicasvox,fuerzaespaña,videollamada
18,casoere,justicia,lugo,4t2019,fórumeuropa,santa_pola,compromisoporespaña,díadelaigualdadsalarial,futuroparanissanya,bildu,prevaricacion,diamundialdelapoesia,vivas,recomendado,comisiondeseguimiento,domingoderamos,mediorural,eres,jóvenes,rutaterritorial,preguntaseria,xivlegislatura,mujer,rajoy,funcionariosdeprisiones,mujeresnimásnimenos,castellón,joker,niños,alrojovivo,comercio,ruralizate,familia,fútbol,consejo,patanegra,20abríl,leónesp,reconstrucciónjusta,manipulacionrtve,pactodeestado,roma,pactoestadoviolenciamachista,voxextremanecesidad,xivlegislatura,16junio,racismo,sebuscaministro,holamarlaska,chequeescolar,notengoduda,estápasando,laalternativayovoy,entretodos,galiciagaliciag,alópresidente,comisionseguimiento
19,nohablesenminombre,podemos,ideagalicialab,ine,andalucía,smi,sesióndeinvestidura,brechasalarial,paudones,debatedeinvestidura,comitédeseguimiento,alarma,niunamenos,mianiversariodetwitter,coiv_19,soria,euskadi,estabilidadpresupuestaria,orgullo2020,mobileworldcongress2020,nuevaeconomíaforum,presidente,niña,salvarvidas,debateinvestidura,generalitat,lasocialista,agenda2030,ejemplaridad,cuarentenafest,estadosunidos,gobiernodelamentira,rufián,concepcionarenal,competitividad,ibérico,entretodos,lasderechas,marlaskadimisionya,14abril,gobiernodecoalicion,enero2020,constitución,nuncadejesdecreer,halamadrid,reconstrucción,pazodemeirás,migrantes,censura,porespaña,yoconinés,autónomosabandonados,vistalegrevox,albacete,andalucía,yasítodo,fcse
