min_cluster_size,min_sample,n_dim,validity_index_score,noise,top_10,top_1,n_clusters,total
90,6,10,0.24735968560971716,36299,26394,7431,129,104253
100,7,10,0.27933849642184544,37979,25172,7431,124,104253
90,5,10,0.2222457446902249,34997,27878,7432,128,104253
100,4,10,0.24316462178988194,35199,26948,7433,124,104253
100,6,10,0.25011702865133634,37150,26394,7431,120,104253
100,3,10,0.2329224334513465,34624,26996,7433,126,104253
150,7,10,0.2544677197201459,39472,25172,7431,97,104253
100,5,10,0.22609678254574797,35466,27878,7432,121,104253
150,4,10,0.22889239644208925,36931,26948,7433,99,104253
150,6,10,0.2470776767758275,38591,26529,7431,96,104253
200,7,10,0.25661209167375,40852,25172,7431,82,104253
150,3,10,0.24957540759087848,35890,26996,7433,104,104253
150,5,10,0.23853406474928465,38641,26544,7432,98,104253
200,4,10,0.2175285243381102,39684,26948,7433,82,104253
200,6,10,0.22310902259131163,40052,26529,7431,81,104253
200,3,10,0.20621811793774747,37694,28247,6716,80,104253
250,7,10,0.2379349387234396,38575,29971,7431,69,104253
200,5,10,0.21927772790659944,38841,28515,7432,77,104253
250,6,10,0.23170542093328528,41478,26546,7431,70,104253
250,4,10,0.20308711405795857,37735,31098,7433,67,104253
250,3,10,0.19798783975325,39767,28247,6716,68,104253
300,7,10,0.250586373686415,38357,32620,7431,59,104253
250,5,10,0.22055615340837004,38735,29849,7432,68,104253
300,6,10,0.20409022057314294,40644,30315,7431,60,104253
300,4,10,0.19147794835007795,38649,31680,6607,61,104253
300,3,10,0.18968477905062114,40855,28247,6716,64,104253
300,5,10,0.21729499549398018,40588,29891,7432,59,104253
350,7,10,0.24488607440648552,38623,33093,7431,56,104253
350,3,10,0.18357167771167998,40549,30025,6716,58,104253
350,4,10,0.1768145010874406,41002,30568,7433,55,104253
350,6,10,0.26547926130014665,37856,34306,7431,54,104253
350,5,10,0.1968060681327324,41311,30257,7432,55,104253
400,7,10,0.23928955632664484,40384,33858,7431,48,104253
400,4,10,0.1669404136167843,41980,30673,7433,51,104253
400,3,10,0.1674742923864109,41934,30831,7433,51,104253
400,6,10,0.2645314786770072,39398,34503,7431,47,104253
400,5,10,0.18368331584080172,41846,31293,7432,47,104253
450,7,10,0.22274221145117115,41376,34141,7431,44,104253
450,4,10,0.15096046987117534,43602,31059,7433,46,104253
