,28.0,24.0,14.0,19.0,10.0,43.0,9.0,33.0,26.0,37.0,35.0,0.0,21.0,42.0,15.0,11.0,30.0,22.0,39.0,5.0,1.0,18.0,2.0,23.0,27.0,13.0,17.0,41.0,12.0,34.0,32.0,3.0,6.0,38.0,25.0,31.0,20.0,4.0,36.0,7.0,40.0,8.0,29.0,16.0
69,pajin,11marzo,nefonline,barakaldo,delcygate,venezuela,objetivoabalos,madrid,fmi,eutanasia,bulo,preciosjustos,caravanagobiernodimision,1demayo,chamartín,lonuestroprimero,patanegra,santjordi2020,diamundialdelmedioambiente,santander,ingresominimovital,,los52devox,graciasayuntamientos,feminismo,laalternativaenvistalegre,otan,pagaextraordinaria,ábalos,aplazamientos,memoria11m,díamundialdelalibertaddeprensa,mujeres,alopresidente,navidad,zaragoza,galiciagaliciagalicia,marlaska,niunpasoatras,motivosparalamocion,sanchezelsepulturero,radarcovid,europa,aragón
70,elche,workingday,díadeeuropa,asambleamujereselectas,fitur2020,españaexiste12e,eres,seguim,saturno,gobiernoprogresista,españaquieretrabajar,venezuela,fead,gobiernogranhermano,opinión,sesiondecontrol,ibérico,elpsoedelbulo,lonuestroprimero,eldebateetb,ingresovital,,policías,autónomos,leónesp,galicia,pymes,ccaa,abalosgate,ayuso,calima,estegobiernoloparamosunidos,europa,,plenoindustria,premiosmujerhoy,okupas,,estadodealarmacuestiondeestado,franco,comunidadmadrid,balancegobierno,cullera,cambioclimático
71,ahoratocalucharjuntos,algoquedecir30e,agendadiputada,mujerespolíticas,abalosdimisión,abalosdimision,yeles,europaleague,alborán,jaimegildebiedma,2demayo,cpac2020,sanchez,salvini,investidura,reconstrucción,atresmediacensura,impuestos,reconstrucciónjusta,europa,fronterasur20,,exceltur,gobiernogranhermano,ábalosdimision,garoña,noestaissolos,aute,quenadiesequedeatrás,españaexiste12e,jaén,pageveteya,fp,,fotillodelanoche,guerreras,congreso,,solidaridad,fidelvive,pactoverde,enmarchatodosunidos,covid__19,voxextremanecesidad
72,8deabril,losdesayunostve,voxconelcampo,minutosilencio,toledo,agenda2030,república,granadaathletic,casado,sánchezenrtve,estadodealarma,alicante,políticaútil,beachclubs,otgala1,12j,twitterresponde,sánchez,gobiernosporlalibertad,felizmartes,mesasocial,,dilema,fellini,fcse,sanitarios,venezuela,felizdomingoderamos,aplausossanitario,voxextremanecesidad,úbeda,sanchezveteya,comisióndereconstrucciónsocialyeconomica,,sansebastian,167valientes,españa,,stopbloqueo,siemprefidel,diamundialdelarte,,gobiernoprogresista,euco
73,gobiernodimisiónya,equiparacionya,voxutil,sendadeestabilidad,diálogo,asino,ermua,gulu,gobierno,placidodomingo,caravanagobiernodimision,espanaexiste,estadodealarma,italia,eutanasia,comisiondereconstruccion,españaexiste,estadodealarma,agenda2030,comunitatvalenciana,reconstrucción,,díazayuso,cultura,investigación,fcse,governbalear,manifestaciononline8a,pinocho,voxvotoútil,waterpolo,niñas,estegobiernoesunaruina,,bici,sesiondeinvestidura,rebrotes,,sancheveteya,melilla,ingresominimovital,,orlandopelayo,agendaurbana
74,14deabril,sancheztraidor,caravanafaselibertad,migraciones,compromisoporespaña,plenodelcongreso,rutaterritorial,cantabria,leonesp,agrarias,sesiondecontrol,laalternativa,lonuestroprimero,comisióndesanidad,cs,gandia,comisionigualdad,desescalada,12j,mocionseptiembre,bebésrobados,,socialismo,cine,codvid19,logroño,simangas,vitoriagasteiz,villanuevadecórdoba,españaexiste,wp2020budapest,graciasabascal,hilo,,agendadiputado,somvalles,gobiernodelcaos,,16ceconovirus,alsasua,voxvotoútil,,motivosparalamoción,okupas
75,congreso,solarorbiter,clima,madrid,frenarlacurva,bulos,mobileworldcongress2020,abascalorgullonacional,lorca,autónomas,nissan,muybuenasnoches,sanchezmiente,9m2machaabolicionista,l6nportavozmontero,andalucía,votaresi,díadeltrabajador,elkarrekinpodemosiu,pleno,venezuela,,europeísta,anoukaimée,metoo,agrario,siemprezerolo,ahoratocalucharunidos,compromisoporespaña,facebook,lugo,díadelaenfermería,abalos,,8marzo,u30grebaorokorra,gobiernodelbulo,,lugo,,voxextremanecesidad,,pnl,sísepuede
76,marlaska,yoapoyoalgobierno,pensiones,bonitavistadesdecasa,sesiondecontrol,castillayleon,laespañasolidaria,ue,segovia,ideagalicialab,ingresomínimovital,pedrosánchez,mundorural,sanchez,pp,micasaeslatuya,167valientes,lomloe,podemos,siempredenuevas,orgullo,,croacia,castillayleón,supercopa,gobiernodimisionya,sesióndecontrol,comisiondesanidadyconsumo,videoconferencia,fake,11marzo,13mayo,marlaska,,diainternacionaldelamujertrabajadora,eraseunavoz,zaldibar,,toros,,diadelatierra,,,comitédelamentira
77,los52devox,tiernogalván,reconstrucciónsocialyeconómica,13econgrespscbcn,sesióndeinvestidura,lutonacional,toledo,diacontralatrata,fukushima,ayer,nadiesequedaatrás,fitur2020,alimentosdespaña,coronapijos,lospacientes,deudapública,diavisibilidadtrans,regularizacionya,voxextremanecesidad,caderechas,turismo,,yoapoyoalgobierno,comisióndesanidayconsumo,sendadelfuturo,stopbulos,ingresovital,unidadysolidaridad,yomequedoencasa,sánchez,11m,huesca,verdadhistórica,,diamundialdelagua,españa,paris,,nohayquintamala,,paguitaabascal,,,motivosparalamocion
78,sanchezveteya,presidente,blacklivesmatterspain,larepresabcn,sanidad,españaquieretrabajar,mundorural,empresas,covid,violenciadegenero,ingresominimovital,sesióndeinvestidura,alimentaria,burgos,responsabilidad,davos,leyeutanasia,consumo,euco,,merluza,,leydeeutanasia,gobiernodelbulo,cierretve,ahoratocalucharunidos,hartosdemadrid,vivaelrey,quenadiesequedeatras,spain,conveniofemeninoya,14mayo,almonasterlareal,,agua,psoe,sanchezmentiroso,,bce,,mordaza,,,
