Full Name,Twitter name,Nbr of tweets
Javier Sánchez Serna,j_sanchez_serna,228
Roberto Uriarte,roberuriarte,220
Vicente Tirado,vicentetiradopp,219
Paco Salazar,salazarropaco,217
Miguel Ángel Castellón Rubio,mcastellonpp,214
Jose Manuel Franco,conjosemfranco,209
Georgina Trias Gil,georgina_vox,207
Francisco Polo,franciscopolo,206
Patricia Rueda,_patricia_rueda,205
Beatriz Micaela Carrillo de los Reyes,beamcarrillo,202
Alfonso Rodríguez Gómez de Celis,gomezdcelis,200
María Guijarro,maritxu30,200
Antón Gómez-Reino,antongomezreino,194
Manuel Mariscal Zabala,mariscalzabala,189
Ione Belarra urteaga,ionebelarra,184
Juan José Aizcorbe Torra,juanjoaizcorbe,184
Carmen Calvo Poyato,carmencalvo_,181
Miguel Ángel Paniagua Nuñez,mapaniagua,179
Esther Peña Camarero,estherpcamarero,177
Marina Ortega,marina_ortega_,171
Germán Renau Martínez,germanrenau,170
Guillermo Antonio Meijón Couselo,guillermomeijon,164
Jaume Alonso-Cuevillas i Sayrol ,jacs_jaumeacs,164
Susana Ros,susana_ros,162
José Ángel Alonso Pérez ,jangelvillalon,160
Diego Gago Bugarín,diegogagob,154
Esther Padilla Ruiz,estherpadillar,153
Miguel González Caballero,migonzalezcaba,153
Teresa López Álvarez,teresagdvinuesa,153
María del Mar García Puig,margpuig,152
Adriana Lastra Fernández,adrilastra,152
Noemí Villagrasa Quero,nvillagrasa,146
Alberto Casero Ávila,albertocasero,141
Miquel Ángel Jerez Juan,miqueljerez,136
Antonia Jover Diaz,antonia_jover_,134
Lucía Miriam Muñoz Dalda,luciadalda,134
Isidro Manuel Martínez Oblanca ,imoblanca,132
Carlos Rojas García,carlosrojas_ppa,129
Carmen Navarro Lacoba,cnlacoba,128
Sebastian Ledesma Ma,sebastianlede15,127
Marisa Saavedra Muñoz,marisasaavedram,124
Noelia Vera,veranoelia,118
Luis Santamaria Ruiz,luisstamaria,116
Susana Sumelzo Jordán,ssumelzo,114
Rafa Mayoral Perales,mayoralrafa,114
Jordi Salvador Duch,jsalvadorduch,113
Mariana de Gracia Canales Duque,graciacanales3,113
Paloma Gázquez,palomagazquez,113
Montse Mínguez García,montseminguez,111
Héctor Gómez Hernández,hectorgomezh,106
Tomás Cabezón,tcabcas,106
Lourdes Méndez Monasterio,lourdesmndezm1,105
patxilopez,patxilopez,104
Maribel García López,belitagl,103
Ana María Oramas González-Moro,anioramas,103
Pedro Quevedo Iturbe,pedroquevedoit,103
Diego Movellan Lombilla,diegomovellan,97
César Sánchez,sanchezcesar,96
Rafi Crespin,rafi_crespin,96
Javier Cerqueiro González,javiercerqueir4,96
Rafa Lomana,rafalomana,94
Ana Belén Fernández Casero,belenfcasero,93
Txema Guijarro,txemaguijarro,81
Pedro Fernández,pedro_fhz,80
Felipe Jesus Sicilia Alférez,felipe_sicilia,78
Carmen Andrés Añón ,carmenandres_,77
Patricia_Blanquer,patri_blanquer,75
Eva Bravo Barco,evabravobarco,72
Iñaki Ruiz de Pinedo,ruizdepinedo,67
Luisa Carcedo,luisacarcedo,64
Aina Vidal Sáez,ainavs,63
Carolina España Reina,carolinaespanar,61
Roser Maestro,roser_maestro,60
Eva Patricia Bueno Campanario,evapatriciab,57
Guillermo Mariscal Anaya,gmariscalanaya,57
Alberto Rodríguez Rodríguez,alber_canarias,56
Joaquín García Díez,quin1954,55
José María Mazon,josemariamazon,52
Míriam Nogueras i Camero,miriamnoguerasm,51
José Antonio Montilla Martos,montimar66,47
Joan Margall Sastre,joanmargall,47
Marta González Vázquez,martaglezvzqz,47
Magdalena Valerio Cordero,mvalerio_gu,46
Jesús Postigo,jspostigo,46
Sofía Hernanz Costa,hernanzsofia,45
María Ruiz VOX,ruizsolas,45
Héctor Illueca Ballester,hector_illueca_,44
Sonia Ferrer Tesoro,soniafetesoro,41
Inés Granollers,inesgranollers,41
Ferran Bel i Accensi,ferran_bel,39
Ismael Cortes Gómez,ismael_cortesg,39
Javier Bas Corugeira,javierbasco,38
Aitor Esteban bravo,aitor_esteban,37
María de los Llanos de Luna Tobarra,llanosdeluna,34
Maria Elivira Rodriguez Herrer,erodriguez_2019,33
Laura Lopez Domínguez,lauralopezd,32
Santos Cerdan Leon,santicl,31
Pedro Saura,pedrosaurag,30
Óscar Clavell López,oscarclavell,30
Joan Capdevila i Esteve,capdevilajoan,27
Pablo Hispán Iglesias de Ussel,hispanpablo,27
Sergi Miquel Valentí ,sergimiquel,26
Maria Jesus Montero Cuadrado,mjmonteroc,23
Tamara Raya Rguez,tamarayar,21
José Luis Steegmann Olmedillas,jlsteeg_doc,21
Xavier Eritja Ciuró,xavieritja,20
Isabel María Borrego Cortés,borrego_corte,18
Albert Botran Pahissa,albertbotran,17
Néstor Rego Candamil,nestorrego,15
María Ramallo,mariaramallov,15
Mariona Illamola Dausà,marionaid,15
Joan Ruiz i Carbonell,jruizcarbonell,15
Íñigo Barandiaran Benito,inibaran,13
Tristana Moraleja,tristanamg,13
Celso Delgado Arce,celsodelgadoou,12
José Carlos Durán Peralta,jcduran_,11
Marta Rosique i Saltor,martarosiq,10
Carolina Telechea Lozano,caroltelechea,8
Ariagona González Pérez,ariagonagp,7
Vicent Sarriá Morell,sarrimorell,7
Mª de La O Redondo Calvillo,mdelaoredondo,7
Pilar Vallugera#Donec Perficiam,pilarvallugera,7
José Miguel González Robles,josemiguel_glez,6
José Luis Ramos Rodríguez,josluisramosro2,4
Pedro Jesús Requejo Novoa,mazureque,2
